Name,ID,config_all_train_seed_mean,config_all_train_seed_sd,agent.epsilon_decay,agent.gamma,agent.learning_rate,agent.tau,agent.epsilon_min,agent.epsilon_start,environment.max_episode_steps,environment.name,memory.capacity,memory.type,network.type,training.batch_size,training.initial_collect_size,training.num_episodes,train_means_list,train_sds_list
Step2_Bayes_DQNAgent-N5-20251226-1611,mxpaqvpi,500,0,0.997555109,0.992039804,0.002936424,0.005405185,0.01,1,500,CartPole-v1,50000,,MLP,256,1000,500,"[500,500,500,500,500]","[0,0,0,0,0]"
Step2_Bayes_DQNAgent-N5-20251226-0927,5qymv9r7,498.6114286,3.104940106,0.983812338,0.983542732,0.006797008,0.0471646,0.01,1,500,CartPole-v1,50000,,MLP,64,1000,500,"[500,500,500,493.0571428571429,500]","[0,0,0,57.67170281968835,0]"
Step2_Bayes_DQNAgent-N5-20251225-1327,ohbiaa71,489.5942857,18.72691395,0.996914408,0.998480373,0.005597498,0.002946785,0.01,1,500,CartPole-v1,50000,,MLP,256,1000,500,"[500,500,500,456.8,491.1714285714286]","[0,0,0,112.5505092963028,44.16623514100576]"
Step2_Bayes_DQNAgent-N5-20251225-1951,kh56e5ty,421.3485714,170.5540436,0.996118322,0.985150526,0.004913748,0.00373859,0.01,1,500,CartPole-v1,40000,,MLP,256,1000,400,"[490.4,500,500,500,116.34285714285714]","[56.02025144024768,0,0,0,4.006729033890413]"
Step2_Bayes_DQNAgent-N5-20251225-0452,n4guy7ur,420.18,178.482946,0.996025028,0.989899023,0.005752644,0.003453637,0.01,1,500,CartPole-v1,50000,,MLP,256,1000,400,"[500,100.9,500,500,500]","[0,21.620195585212848,0,0,0]"
Step2_Bayes_DQNAgent-N5-20251226-1949,pbk6daa6,417.9428571,154.836239,0.990946572,0.988526859,0.003040226,0.006837925,0.01,1,500,CartPole-v1,30000,,MLP,64,1000,500,"[500,143.38571428571427,451.37142857142857,500,494.95714285714286]","[0,3.448779730956017,108.7153782561959,0,41.889117480143994]"
Step2_Bayes_DQNAgent-N5-20251226-1034,bulsge74,410.08,138.848628,0.984582303,0.982075748,0.003701418,0.019878577,0.01,1,500,CartPole-v1,40000,,MLP,128,1000,500,"[365.95714285714286,184.44285714285715,500,500,500]","[73.64149368281943,10.380800566823508,0,0,0]"
Step2_Bayes_DQNAgent-N5-20251226-0345,sh0tjkdk,401.8685714,219.428545,0.985545283,0.978073198,0.005141262,0.025951876,0.01,1,500,CartPole-v1,50000,,MLP,64,1000,500,"[500,500,9.342857142857143,500,500]","[0,0,0.7724860476911871,0,0]"
Step2_Bayes_DQNAgent-N5-20251225-2349,w8nflzbo,378.5085714,161.1344836,0.981005842,0.988092751,0.001096327,0.025577869,0.01,1,500,CartPole-v1,30000,,MLP,64,1000,400,"[467.74285714285713,500,137.6,287.2,500]","[84.53785047696273,0,2.154065922853802,49.248234196045765,0]"
Step2_Bayes_DQNAgent-N5-20251226-1156,zl8vas2c,372.4628571,181.349414,0.983003997,0.979669671,0.001516538,0.030475336,0.01,1,500,CartPole-v1,40000,,MLP,128,1000,500,"[500,500,500,112.02857142857142,250.28571428571428]","[0,0,0,64.69267378008368,3.8513183536581974]"
