summary,config,name
"{'_runtime': 451, '_step': 0, '_timestamp': 1767261308.2507114, '_wandb': {'runtime': 451}, 'final_mean': 88.34285714285714, 'final_sd': 28.485026499792443}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 501, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0147
"{'_runtime': 589, '_step': 0, '_timestamp': 1767261447.0289354, '_wandb': {'runtime': 589}, 'final_mean': 373.8285714285714, 'final_sd': 127.41618773907489}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 502, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0147
"{'_runtime': 586, '_step': 0, '_timestamp': 1767261916.7790627, '_wandb': {'runtime': 586}, 'final_mean': 425.6142857142857, 'final_sd': 57.48895368606362}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 503, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0155
"{'_runtime': 1202, '_step': 0, '_timestamp': 1767262727.246354, '_wandb': {'runtime': 1202}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 504, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0158
"{'_runtime': 698, '_step': 0, '_timestamp': 1767262706.9598353, '_wandb': {'runtime': 698}, 'final_mean': 280.72857142857146, 'final_sd': 32.647870824722325}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 505, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0206
"{'_runtime': 676, '_step': 0, '_timestamp': 1767263406.388641, '_wandb': {'runtime': 676}, 'final_mean': 151.74285714285713, 'final_sd': 5.325640710711888}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 506, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0218
"{'_runtime': 510, '_step': 0, '_timestamp': 1767263259.0160325, '_wandb': {'runtime': 510}, 'final_mean': 269.87142857142857, 'final_sd': 116.52711780385486}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 507, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0219
"{'_runtime': 1329, '_step': 0, '_timestamp': 1767264617.330826, '_wandb': {'runtime': 1329}, 'final_mean': 470.92857142857144, 'final_sd': 38.306777255121176}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 508, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0228
"{'_runtime': 867, '_step': 0, '_timestamp': 1767264299.158521, '_wandb': {'runtime': 867}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 509, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0230
"{'_runtime': 589, '_step': 0, '_timestamp': 1767264954.6096296, '_wandb': {'runtime': 589}, 'final_mean': 492.51428571428573, 'final_sd': 35.80332899811048}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 510, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0246
"{'_runtime': 751, '_step': 0, '_timestamp': 1767265457.8185868, '_wandb': {'runtime': 751}, 'final_mean': 331.9428571428571, 'final_sd': 60.25087686719013}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 511, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0251
"{'_runtime': 502, '_step': 0, '_timestamp': 1767265485.1246908, '_wandb': {'runtime': 502}, 'final_mean': 58.94285714285714, 'final_sd': 52.71700341426466}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 512, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0256
"{'_runtime': 427, '_step': 0, '_timestamp': 1767265912.1382556, '_wandb': {'runtime': 427}, 'final_mean': 243.52857142857144, 'final_sd': 142.35184994819514}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 513, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0304
"{'_runtime': 1252, '_step': 0, '_timestamp': 1767266762.990549, '_wandb': {'runtime': 1252}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 514, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0305
"{'_runtime': 371, '_step': 0, '_timestamp': 1767266308.5961063, '_wandb': {'runtime': 371}, 'final_mean': 145.4, 'final_sd': 10.839609903365655}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 515, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0312
"{'_runtime': 817, '_step': 0, '_timestamp': 1767267155.11243, '_wandb': {'runtime': 817}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 516, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0318
"{'_runtime': 381, '_step': 0, '_timestamp': 1767267176.9803224, '_wandb': {'runtime': 381}, 'final_mean': 123.82857142857142, 'final_sd': 43.40078058171351}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 517, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0326
"{'_runtime': 1194, '_step': 0, '_timestamp': 1767268376.1751397, '_wandb': {'runtime': 1194}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 518, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0333
"{'_runtime': 533, '_step': 0, '_timestamp': 1767267732.505135, '_wandb': {'runtime': 533}, 'final_mean': 188.4142857142857, 'final_sd': 57.40719040507104}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 519, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0333
"{'_runtime': 825, '_step': 0, '_timestamp': 1767268589.8941722, '_wandb': {'runtime': 825}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 520, 'batch_size': 64, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0342
"{'_runtime': 924, '_step': 0, '_timestamp': 1767269326.2730472, '_wandb': {'runtime': 924}, 'final_mean': 107.22857142857144, 'final_sd': 77.05863656585}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 501, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0353
"{'_runtime': 1099, '_step': 0, '_timestamp': 1767269713.192635, '_wandb': {'runtime': 1099}, 'final_mean': 475.51428571428573, 'final_sd': 80.56084530290362}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 502, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0356
