name,agent.tau,agent.epsilon_decay,agent.learning_rate,training.main_seed,training.batch_size,final_mean,final_sd
Step4_DQNAgent-20260102-0147,0.015,0.975,0.00075,501,64,88.34285714,28.4850265
Step4_DQNAgent-20260102-0147,0.015,0.975,0.00075,502,64,373.8285714,127.4161877
Step4_DQNAgent-20260102-0155,0.015,0.975,0.00075,503,64,425.6142857,57.48895369
Step4_DQNAgent-20260102-0158,0.015,0.975,0.00075,504,64,500,0
Step4_DQNAgent-20260102-0206,0.015,0.975,0.00075,505,64,280.7285714,32.64787082
Step4_DQNAgent-20260102-0218,0.015,0.975,0.00075,506,64,151.7428571,5.325640711
Step4_DQNAgent-20260102-0219,0.015,0.975,0.00075,507,64,269.8714286,116.5271178
Step4_DQNAgent-20260102-0228,0.015,0.975,0.00075,508,64,470.9285714,38.30677726
Step4_DQNAgent-20260102-0230,0.015,0.975,0.00075,509,64,500,0
Step4_DQNAgent-20260102-0246,0.015,0.975,0.00075,510,64,492.5142857,35.803329
Step4_DQNAgent-20260102-0251,0.015,0.975,0.00075,511,64,331.9428571,60.25087687
Step4_DQNAgent-20260102-0256,0.015,0.975,0.00075,512,64,58.94285714,52.71700341
Step4_DQNAgent-20260102-0304,0.015,0.975,0.00075,513,64,243.5285714,142.3518499
Step4_DQNAgent-20260102-0305,0.015,0.975,0.00075,514,64,500,0
Step4_DQNAgent-20260102-0312,0.015,0.975,0.00075,515,64,145.4,10.8396099
Step4_DQNAgent-20260102-0318,0.015,0.975,0.00075,516,64,500,0
Step4_DQNAgent-20260102-0326,0.015,0.975,0.00075,517,64,123.8285714,43.40078058
Step4_DQNAgent-20260102-0333,0.015,0.975,0.00075,518,64,500,0
Step4_DQNAgent-20260102-0333,0.015,0.975,0.00075,519,64,188.4142857,57.40719041
Step4_DQNAgent-20260102-0342,0.015,0.975,0.00075,520,64,500,0
Step4_DQNAgent-20260102-0353,0.015,0.975,0.00075,501,128,107.2285714,77.05863657
Step4_DQNAgent-20260102-0356,0.015,0.975,0.00075,502,128,475.5142857,80.5608453
Step4_DQNAgent-20260102-0409,0.015,0.975,0.00075,503,128,481.6285714,13.42723398
Step4_DQNAgent-20260102-0415,0.015,0.975,0.00075,504,128,178.4714286,12.61600053
Step4_DQNAgent-20260102-0418,0.015,0.975,0.00075,505,128,90.67142857,176.7483054
Step4_DQNAgent-20260102-0432,0.015,0.975,0.00075,506,128,241.7428571,96.16573279
Step4_DQNAgent-20260102-0433,0.015,0.975,0.00075,507,128,367.9714286,110.0649122
Step4_DQNAgent-20260102-0441,0.015,0.975,0.00075,508,128,376.9857143,40.32811598
Step4_DQNAgent-20260102-0447,0.015,0.975,0.00075,509,128,500,0
Step4_DQNAgent-20260102-0502,0.015,0.975,0.00075,510,128,258.8428571,57.62703624
Step4_DQNAgent-20260102-0505,0.015,0.975,0.00075,511,128,489.3571429,23.51293608
Step4_DQNAgent-20260102-0514,0.015,0.975,0.00075,512,128,499.9285714,0.593330276
Step4_DQNAgent-20260102-0520,0.015,0.975,0.00075,513,128,310.6285714,116.4540586
Step4_DQNAgent-20260102-0530,0.015,0.975,0.00075,514,128,283.5714286,7.847786637
Step4_DQNAgent-20260102-0530,0.015,0.975,0.00075,515,128,182.8714286,32.9965026
Step4_DQNAgent-20260102-0539,0.015,0.975,0.00075,516,128,227.7571429,54.56174372
Step4_DQNAgent-20260102-0545,0.015,0.975,0.00075,517,128,335.4142857,16.66604148
Step4_DQNAgent-20260102-0549,0.015,0.975,0.00075,518,128,500,0
Step4_DQNAgent-20260102-0554,0.015,0.975,0.00075,519,128,29.82857143,15.93017929
Step4_DQNAgent-20260102-0602,0.015,0.975,0.00075,520,128,64.6,37.41634479
Step4_DQNAgent-20260102-0607,0.015,0.975,0.00075,501,256,383.1714286,136.2947406
Step4_DQNAgent-20260102-0618,0.015,0.975,0.00075,502,256,491.9142857,24.8370362
Step4_DQNAgent-20260102-0619,0.015,0.975,0.00075,503,256,484.1571429,57.21454254
Step4_DQNAgent-20260102-0636,0.015,0.975,0.00075,504,256,500,0
Step4_DQNAgent-20260102-0637,0.015,0.975,0.00075,505,256,253.2285714,70.67494432
Step4_DQNAgent-20260102-0648,0.015,0.975,0.00075,506,256,487.8285714,58.18762054
Step4_DQNAgent-20260102-0658,0.015,0.975,0.00075,507,256,500,0
Step4_DQNAgent-20260102-0701,0.015,0.975,0.00075,508,256,124.2571429,21.88847428
Step4_DQNAgent-20260102-0717,0.015,0.975,0.00075,509,256,220.6,13.66580717
Step4_DQNAgent-20260102-0729,0.015,0.975,0.00075,510,256,244.6142857,48.6428068
Step4_DQNAgent-20260102-0738,0.015,0.975,0.00075,511,256,500,0
Step4_DQNAgent-20260102-0743,0.015,0.975,0.00075,512,256,500,0
Step4_DQNAgent-20260102-0755,0.015,0.975,0.00075,513,256,186.6142857,6.891594999
Step4_DQNAgent-20260102-0759,0.015,0.975,0.00075,514,256,153.6857143,8.255808098
Step4_DQNAgent-20260102-0807,0.015,0.975,0.00075,515,256,500,0
Step4_DQNAgent-20260102-0818,0.015,0.975,0.00075,516,256,500,0
Step4_DQNAgent-20260102-0820,0.015,0.975,0.00075,517,256,118.6714286,4.81284421
Step4_DQNAgent-20260102-0829,0.015,0.975,0.00075,518,256,500,0
Step4_DQNAgent-20260102-0842,0.015,0.975,0.00075,519,256,209.6142857,35.23970685
Step4_DQNAgent-20260102-0853,0.015,0.975,0.00075,520,256,500,0
Step4_DQNAgent-20260102-0854,0.03,0.975,0.00075,501,64,315.8285714,133.5678502
Step4_DQNAgent-20260102-0901,0.03,0.975,0.00075,502,64,200.4142857,16.06637381
Step4_DQNAgent-20260102-0910,0.03,0.975,0.00075,503,64,153.4142857,42.97723413
Step4_DQNAgent-20260102-0910,0.03,0.975,0.00075,504,64,467.9428571,37.60428764
Step4_DQNAgent-20260102-0916,0.03,0.975,0.00075,505,64,233.7428571,8.674569918
Step4_DQNAgent-20260102-0927,0.03,0.975,0.00075,506,64,485.4285714,54.4981183
Step4_DQNAgent-20260102-0928,0.03,0.975,0.00075,507,64,140.8285714,6.155070914
Step4_DQNAgent-20260102-0935,0.03,0.975,0.00075,508,64,127.7428571,77.05428248
Step4_DQNAgent-20260102-0939,0.03,0.975,0.00075,509,64,500,0
Step4_DQNAgent-20260102-0954,0.03,0.975,0.00075,510,64,483.7285714,42.62223478
Step4_DQNAgent-20260102-0957,0.03,0.975,0.00075,511,64,162.8,6.221162041
Step4_DQNAgent-20260102-1011,0.03,0.975,0.00075,512,64,406.4428571,153.3131842
Step4_DQNAgent-20260102-1012,0.03,0.975,0.00075,513,64,238.5,37.61715034
Step4_DQNAgent-20260102-1019,0.03,0.975,0.00075,514,64,500,0
Step4_DQNAgent-20260102-1029,0.03,0.975,0.00075,515,64,131.4285714,9.508749998
Step4_DQNAgent-20260102-1034,0.03,0.975,0.00075,516,64,443.5,119.4080339
Step4_DQNAgent-20260102-1046,0.03,0.975,0.00075,517,64,151.2857143,10.02588487
Step4_DQNAgent-20260102-1047,0.03,0.975,0.00075,518,64,500,0
Step4_DQNAgent-20260102-1052,0.03,0.975,0.00075,519,64,500,0
Step4_DQNAgent-20260102-1106,0.03,0.975,0.00075,520,64,347.8571429,64.09686547
Step4_DQNAgent-20260102-1111,0.03,0.975,0.00075,501,128,248.1857143,115.4159302
Step4_DQNAgent-20260102-1118,0.03,0.975,0.00075,502,128,231.2,13.1601129
Step4_DQNAgent-20260102-1118,0.03,0.975,0.00075,503,128,45.52857143,19.83627372
Step4_DQNAgent-20260102-1127,0.03,0.975,0.00075,504,128,127.8285714,5.694537304
Step4_DQNAgent-20260102-1128,0.03,0.975,0.00075,505,128,500,0
Step4_DQNAgent-20260102-1141,0.03,0.975,0.00075,506,128,497.6428571,11.17655162
Step4_DQNAgent-20260102-1144,0.03,0.975,0.00075,507,128,10.72857143,0.969851661
Step4_DQNAgent-20260102-1152,0.03,0.975,0.00075,508,128,121.4714286,4.553558824
Step4_DQNAgent-20260102-1154,0.03,0.975,0.00075,509,128,390,182.1057777
Step4_DQNAgent-20260102-1210,0.03,0.975,0.00075,510,128,142.5,16.54841382
Step4_DQNAgent-20260102-1218,0.03,0.975,0.00075,511,128,38.47142857,14.82153012
Step4_DQNAgent-20260102-1226,0.03,0.975,0.00075,512,128,438.5,10.22566798
Step4_DQNAgent-20260102-1227,0.03,0.975,0.00075,513,128,244.6142857,148.6796453
Step4_DQNAgent-20260102-1238,0.03,0.975,0.00075,514,128,449.3571429,68.77998789
Step4_DQNAgent-20260102-1243,0.03,0.975,0.00075,515,128,297.9857143,76.15801109
Step4_DQNAgent-20260102-1254,0.03,0.975,0.00075,516,128,487.6142857,51.19271512
Step4_DQNAgent-20260102-1300,0.03,0.975,0.00075,517,128,160.2857143,52.77286718
Step4_DQNAgent-20260102-1308,0.03,0.975,0.00075,518,128,500,0
Step4_DQNAgent-20260102-1309,0.03,0.975,0.00075,519,128,500,0
Step4_DQNAgent-20260102-1321,0.03,0.975,0.00075,520,128,192.1714286,5.781674074
Step4_DQNAgent-20260102-1330,0.03,0.975,0.00075,501,256,500,0
Step4_DQNAgent-20260113-0926,0.03,0.975,0.00075,502,256,460.2,91.35013
Step4_DQNAgent-20260102-1339,0.03,0.975,0.00075,503,256,177.4428571,8.731937625
Step4_DQNAgent-20260102-1347,0.03,0.975,0.00075,504,256,500,0
Step4_DQNAgent-20260102-1350,0.03,0.975,0.00075,505,256,499.1857143,5.196957509
Step4_DQNAgent-20260102-1408,0.03,0.975,0.00075,506,256,323.6,108.4028729
Step4_DQNAgent-20260102-1416,0.03,0.975,0.00075,507,256,500,0
Step4_DQNAgent-20260102-1424,0.03,0.975,0.00075,508,256,500,0
Step4_DQNAgent-20260102-1432,0.03,0.975,0.00075,509,256,500,0
Step4_DQNAgent-20260102-1452,0.03,0.975,0.00075,510,256,485.7428571,57.92376411
Step4_DQNAgent-20260102-1452,0.03,0.975,0.00075,511,256,142.3285714,10.19344527
Step4_DQNAgent-20260102-1504,0.03,0.975,0.00075,512,256,500,0
Step4_DQNAgent-20260102-1511,0.03,0.975,0.00075,513,256,134.7857143,30.33898617
Step4_DQNAgent-20260102-1518,0.03,0.975,0.00075,514,256,186.4285714,4.403152859
Step4_DQNAgent-20260102-1519,0.03,0.975,0.00075,515,256,280.1571429,37.97541901
Step4_DQNAgent-20260102-1530,0.03,0.975,0.00075,516,256,500,0
Step4_DQNAgent-20260102-1542,0.03,0.975,0.00075,517,256,500,0
Step4_DQNAgent-20260102-1549,0.03,0.975,0.00075,518,256,109.2285714,2.991279843
Step4_DQNAgent-20260102-1553,0.03,0.975,0.00075,519,256,165.8,7.196427685
Step4_DQNAgent-20260102-1603,0.03,0.975,0.00075,520,256,498.0285714,9.909550125
